client,service,transaction_type,activity_date,amount
Widget Industries,Security Finances,Cash Settlement,2020-11-23,31
Widget Industries,Security Finances,Inquiry,2020-04-16,0
Widget Industries,Security Finances,Contract Termination,2019-01-15,82
Widget Industries,Security Finances,Trade Execution,2020-04-13,79
Widget Industries,Security Finances,Trade Execution,2023-10-27,348
Widget Industries,Security Finances,Cash Settlement,2021-11-18,253
Widget Industries,Security Finances,Onboarding,2022-10-02,507
Widget Industries,Security Finances,Contract Termination,2022-01-09,145
Widget Industries,Security Finances,Corporate Action,2020-05-12,813
Global Innovations Group,Trade Settlements,Corporate Action,2023-07-12,426
Global Innovations Group,Trade Settlements,Contract Termination,2019-07-13,109
Global Innovations Group,Trade Settlements,FX Transaction,2020-12-26,443
Global Innovations Group,Trade Settlements,FX Transaction,2021-08-14,894
Global Innovations Group,Trade Settlements,Trade Execution,2022-10-11,679
Global Innovations Group,Trade Settlements,Cash Settlement,2019-05-05,422
Global Innovations Group,Trade Settlements,Contract Renewal,2023-06-28,892
Global Innovations Group,Trade Settlements,Cash Settlement,2020-05-24,206
Global Innovations Group,Trade Settlements,Contract Termination,2022-01-03,469
Global Innovations Group,Trade Settlements,Reconciliation,2021-05-14,197
Global Innovations Group,Trade Settlements,Onboarding,2021-08-05,265
Global Innovations Group,Trade Settlements,Cash Settlement,2021-06-26,837
Global Innovations Group,Trade Settlements,Inquiry,2019-07-20,0
Global Innovations Group,Trade Settlements,Trade Execution,2022-08-28,563
Global Innovations Group,Multi Asset Class Sol,Trade Execution,2019-07-11,958
Global Innovations Group,Multi Asset Class Sol,Contract Termination,2019-12-07,426
Global Innovations Group,Multi Asset Class Sol,Corporate Action,2021-09-12,228
Global Innovations Group,Multi Asset Class Sol,FX Transaction,2019-05-01,178
Global Innovations Group,Multi Asset Class Sol,FX Transaction,2019-01-05,409
Global Innovations Group,Multi Asset Class Sol,Onboarding,2023-05-25,813
Global Innovations Group,Multi Asset Class Sol,Corporate Action,2020-08-07,443
Global Innovations Group,Multi Asset Class Sol,Inquiry,2022-09-17,0
Global Innovations Group,Multi Asset Class Sol,Corporate Action,2019-11-14,204
Global Innovations Group,Multi Asset Class Sol,Onboarding,2020-03-21,69
Global Innovations Group,Multi Asset Class Sol,Inquiry,2019-05-05,0
Global Innovations Group,Multi Asset Class Sol,Contract Renewal,2019-04-28,61
Global Innovations Group,Multi Asset Class Sol,Corporate Action,2021-10-26,951
Global Innovations Group,Multi Asset Class Sol,Inquiry,2019-11-19,0
Global Innovations Group,Currency Management,Trade Execution,2021-11-06,92
Global Innovations Group,Currency Management,Reconciliation,2019-05-21,619
Global Innovations Group,Currency Management,Cash Settlement,2022-10-14,892
Global Innovations Group,Currency Management,Contract Termination,2021-04-06,132
Global Innovations Group,Currency Management,Contract Termination,2022-03-31,618
Global Innovations Group,Currency Management,Trade Execution,2022-06-22,93
Global Innovations Group,Currency Management,FX Transaction,2022-09-08,607
Global Innovations Group,Currency Management,Inquiry,2020-10-09,0
Global Innovations Group,Currency Management,Onboarding,2020-02-23,695
Global Innovations Group,Currency Management,Contract Renewal,2020-05-03,281
Global Innovations Group,Currency Management,FX Transaction,2019-09-26,697
Global Innovations Group,Currency Management,Onboarding,2021-07-25,333
Global Innovations Group,Currency Management,Cash Settlement,2019-01-20,479
Global Innovations Group,Currency Management,Cash Settlement,2019-05-31,560
Global Innovations Group,Advisory Services,Contract Termination,2021-11-02,281
Global Innovations Group,Advisory Services,Reconciliation,2020-12-15,912
Global Innovations Group,Advisory Services,Cash Settlement,2023-12-06,260
Global Innovations Group,Advisory Services,Contract Renewal,2020-08-06,171
Global Innovations Group,Advisory Services,Corporate Action,2023-09-04,566
Global Innovations Group,Advisory Services,Onboarding,2022-06-06,836
Global Innovations Group,Advisory Services,Inquiry,2019-01-17,0
Global Innovations Group,Advisory Services,Inquiry,2020-09-05,0
Global Innovations Group,Advisory Services,Cash Settlement,2023-12-04,147
Global Innovations Group,Advisory Services,Onboarding,2019-08-25,921
Global Innovations Group,Advisory Services,Cash Settlement,2023-03-01,576
Global Innovations Group,Advisory Services,Reconciliation,2020-07-11,298
Global Innovations Group,Advisory Services,Contract Termination,2023-01-09,361
Global Innovations Group,Advisory Services,Contract Termination,2022-11-08,659
Global Innovations Group,Security Finances,Onboarding,2021-11-01,510
Global Innovations Group,Security Finances,Onboarding,2023-09-29,62
Global Innovations Group,Security Finances,Cash Settlement,2022-07-23,443
Global Innovations Group,Security Finances,Onboarding,2019-04-01,13
Global Innovations Group,Security Finances,Contract Renewal,2023-04-29,143
Global Innovations Group,Security Finances,Onboarding,2019-11-27,769
Global Innovations Group,Security Finances,Corporate Action,2022-02-03,732
Global Innovations Group,Security Finances,FX Transaction,2022-02-22,19
Global Innovations Group,Security Finances,Cash Settlement,2019-06-04,977
Global Innovations Group,Security Finances,Reconciliation,2022-01-22,46
Global Innovations Group,Security Finances,Contract Renewal,2022-04-07,575
Global Innovations Group,Security Finances,Reconciliation,2021-05-30,140
Global Innovations Group,Security Finances,Trade Execution,2020-09-23,383
Global Innovations Group,Security Finances,Trade Execution,2021-01-02,225
Global Innovations Group,Equity and Fixed Income,Contract Termination,2022-09-27,115
Global Innovations Group,Equity and Fixed Income,Contract Renewal,2023-05-17,583
Global Innovations Group,Equity and Fixed Income,FX Transaction,2022-06-25,777
Global Innovations Group,Equity and Fixed Income,Reconciliation,2020-04-29,895
Global Innovations Group,Equity and Fixed Income,Reconciliation,2023-06-27,840
Global Innovations Group,Equity and Fixed Income,Reconciliation,2023-12-11,432
Global Innovations Group,Equity and Fixed Income,Trade Execution,2020-01-03,764
Global Innovations Group,Equity and Fixed Income,Contract Renewal,2023-05-22,963
Global Innovations Group,Equity and Fixed Income,FX Transaction,2023-07-01,695
Global Innovations Group,Equity and Fixed Income,Contract Termination,2020-06-30,173
Global Innovations Group,Equity and Fixed Income,Cash Settlement,2021-02-22,903
Global Innovations Group,Equity and Fixed Income,Trade Execution,2023-10-25,491
Global Innovations Group,Equity and Fixed Income,Contract Termination,2020-02-13,846
Global Innovations Group,Equity and Fixed Income,Corporate Action,2020-12-17,322
Global Innovations Group,Hedge Fund Services,Contract Termination,2020-04-01,34
Global Innovations Group,Hedge Fund Services,Contract Termination,2021-03-27,346
Global Innovations Group,Hedge Fund Services,Onboarding,2023-11-06,81
Global Innovations Group,Hedge Fund Services,Onboarding,2020-12-20,666
Global Innovations Group,Hedge Fund Services,Inquiry,2021-03-29,0
Global Innovations Group,Hedge Fund Services,Inquiry,2020-11-09,0
Global Innovations Group,Hedge Fund Services,Trade Execution,2019-08-25,908
Global Innovations Group,Hedge Fund Services,Onboarding,2020-01-01,604
Global Innovations Group,Hedge Fund Services,Onboarding,2019-03-20,121
Global Innovations Group,Hedge Fund Services,FX Transaction,2020-12-08,756
Global Innovations Group,Hedge Fund Services,Contract Renewal,2021-06-12,630
Global Innovations Group,Hedge Fund Services,Inquiry,2019-08-25,0
Global Innovations Group,Hedge Fund Services,FX Transaction,2022-03-26,204
Global Innovations Group,Hedge Fund Services,Onboarding,2019-04-01,735
Global Innovations Group,NAV Calculation,FX Transaction,2019-01-04,542
Global Innovations Group,NAV Calculation,Inquiry,2022-11-07,0
Global Innovations Group,NAV Calculation,Contract Termination,2021-01-15,451
Global Innovations Group,NAV Calculation,Cash Settlement,2022-09-22,952
Global Innovations Group,NAV Calculation,Contract Renewal,2022-06-30,331
Global Innovations Group,NAV Calculation,Cash Settlement,2023-01-14,931
Global Innovations Group,NAV Calculation,Onboarding,2021-11-04,326
Global Innovations Group,NAV Calculation,FX Transaction,2020-10-30,422
Global Innovations Group,NAV Calculation,Onboarding,2022-02-09,140
Global Innovations Group,NAV Calculation,Contract Termination,2021-05-11,690
Global Innovations Group,NAV Calculation,FX Transaction,2022-10-19,776
Global Innovations Group,NAV Calculation,Reconciliation,2022-06-14,592
Global Innovations Group,NAV Calculation,Onboarding,2021-04-11,571
Global Innovations Group,NAV Calculation,Trade Execution,2020-09-14,303
Techtonic Solutions,Digital Assets,Contract Termination,2021-05-30,814
Techtonic Solutions,Digital Assets,Contract Renewal,2021-08-10,462
Techtonic Solutions,Digital Assets,Corporate Action,2022-10-15,228
Techtonic Solutions,Digital Assets,Inquiry,2021-08-27,0
Techtonic Solutions,Digital Assets,Reconciliation,2022-09-11,96
Techtonic Solutions,Digital Assets,Onboarding,2021-11-21,689
Techtonic Solutions,Digital Assets,Contract Renewal,2019-07-11,848
Techtonic Solutions,Digital Assets,Contract Termination,2022-10-09,327
Techtonic Solutions,Digital Assets,Contract Termination,2023-07-10,213
Techtonic Solutions,Digital Assets,Reconciliation,2019-02-20,57
Techtonic Solutions,Digital Assets,Contract Termination,2021-08-31,635
Techtonic Solutions,Digital Assets,Cash Settlement,2021-07-21,434
Techtonic Solutions,Digital Assets,Contract Termination,2023-01-11,723
Techtonic Solutions,Digital Assets,FX Transaction,2021-10-09,419
Techtonic Solutions,NAV Calculation,Contract Termination,2019-10-30,681
Techtonic Solutions,NAV Calculation,Trade Execution,2023-03-18,891
Techtonic Solutions,NAV Calculation,Cash Settlement,2023-05-14,445
Techtonic Solutions,NAV Calculation,Contract Termination,2019-12-27,833
Techtonic Solutions,NAV Calculation,Inquiry,2021-08-09,0
Techtonic Solutions,NAV Calculation,Trade Execution,2022-02-15,265
Techtonic Solutions,NAV Calculation,Cash Settlement,2021-07-23,146
Techtonic Solutions,NAV Calculation,Corporate Action,2022-09-29,553
Techtonic Solutions,NAV Calculation,Inquiry,2022-05-04,0
Techtonic Solutions,NAV Calculation,Contract Renewal,2023-03-27,922
Techtonic Solutions,NAV Calculation,Corporate Action,2022-06-08,844
Techtonic Solutions,NAV Calculation,Inquiry,2021-05-23,0
Techtonic Solutions,NAV Calculation,Inquiry,2021-07-02,0
Techtonic Solutions,NAV Calculation,Reconciliation,2023-03-04,892
Techtonic Solutions,Trade Settlements,Corporate Action,2021-07-10,275
Techtonic Solutions,Trade Settlements,Contract Termination,2023-09-17,662
Techtonic Solutions,Trade Settlements,Onboarding,2023-04-18,806
Techtonic Solutions,Trade Settlements,Inquiry,2021-09-19,0
Techtonic Solutions,Trade Settlements,Contract Termination,2020-07-16,460
Techtonic Solutions,Trade Settlements,Cash Settlement,2023-01-01,302
Techtonic Solutions,Trade Settlements,Contract Termination,2020-07-10,353
Techtonic Solutions,Trade Settlements,Contract Renewal,2022-01-11,92
Techtonic Solutions,Trade Settlements,Reconciliation,2019-11-05,246
Techtonic Solutions,Trade Settlements,FX Transaction,2022-11-22,166
Techtonic Solutions,Trade Settlements,Contract Termination,2019-05-12,434
Techtonic Solutions,Trade Settlements,FX Transaction,2020-11-08,565
Techtonic Solutions,Trade Settlements,Corporate Action,2021-05-01,73
Techtonic Solutions,Trade Settlements,Contract Termination,2023-09-02,440
Techtonic Solutions,Security Finances,FX Transaction,2023-04-26,608
Techtonic Solutions,Security Finances,Trade Execution,2023-10-21,911
Techtonic Solutions,Security Finances,FX Transaction,2021-09-03,16
Techtonic Solutions,Security Finances,Contract Renewal,2020-09-03,781
Techtonic Solutions,Security Finances,FX Transaction,2023-10-14,923
Techtonic Solutions,Security Finances,FX Transaction,2022-01-07,775
Techtonic Solutions,Security Finances,Inquiry,2023-06-27,0
Techtonic Solutions,Security Finances,Contract Termination,2021-09-26,234
Techtonic Solutions,Security Finances,Onboarding,2021-06-11,507
Techtonic Solutions,Security Finances,Trade Execution,2021-03-07,354
Techtonic Solutions,Security Finances,FX Transaction,2023-01-23,179
Techtonic Solutions,Security Finances,Corporate Action,2019-09-19,647
Techtonic Solutions,Security Finances,Inquiry,2019-02-25,0
Techtonic Solutions,Security Finances,FX Transaction,2022-04-27,587
Techtonic Solutions,Custody,Trade Execution,2019-06-21,668
Techtonic Solutions,Custody,FX Transaction,2019-10-05,897
Techtonic Solutions,Custody,Corporate Action,2020-01-08,61
Techtonic Solutions,Custody,Onboarding,2021-02-15,345
Techtonic Solutions,Custody,Contract Termination,2021-07-20,344
Techtonic Solutions,Custody,Contract Renewal,2023-04-08,910
Techtonic Solutions,Custody,FX Transaction,2020-07-23,780
Techtonic Solutions,Custody,FX Transaction,2020-05-31,864
Techtonic Solutions,Custody,Cash Settlement,2021-08-21,29
Techtonic Solutions,Custody,Inquiry,2019-04-17,0
Techtonic Solutions,Custody,Contract Renewal,2020-04-04,675
Techtonic Solutions,Custody,Cash Settlement,2023-05-19,990
Techtonic Solutions,Custody,Trade Execution,2023-03-25,41
Techtonic Solutions,Custody,Contract Termination,2020-02-13,869
Techtonic Solutions,Multi Asset Class Sol,Trade Execution,2022-06-26,166
Techtonic Solutions,Multi Asset Class Sol,Contract Termination,2019-09-16,494
Techtonic Solutions,Multi Asset Class Sol,Cash Settlement,2022-03-01,980
Techtonic Solutions,Multi Asset Class Sol,Contract Termination,2021-08-10,726
Techtonic Solutions,Multi Asset Class Sol,Onboarding,2023-04-20,387
Techtonic Solutions,Multi Asset Class Sol,Reconciliation,2022-05-25,631
Techtonic Solutions,Multi Asset Class Sol,Cash Settlement,2023-05-12,848
Techtonic Solutions,Multi Asset Class Sol,Reconciliation,2020-09-29,120
Techtonic Solutions,Multi Asset Class Sol,Trade Execution,2020-09-30,599
Techtonic Solutions,Multi Asset Class Sol,FX Transaction,2021-03-23,974
Techtonic Solutions,Multi Asset Class Sol,Contract Termination,2019-06-05,616
Techtonic Solutions,Multi Asset Class Sol,Contract Termination,2019-07-28,723
Techtonic Solutions,Multi Asset Class Sol,Onboarding,2023-10-08,710
Techtonic Solutions,Multi Asset Class Sol,Cash Settlement,2023-06-19,589
Quantum Systems Inc.,Equity and Fixed Income,Trade Execution,2020-12-12,555
Quantum Systems Inc.,Equity and Fixed Income,FX Transaction,2022-09-16,389
Quantum Systems Inc.,Equity and Fixed Income,Cash Settlement,2021-11-02,673
Quantum Systems Inc.,Equity and Fixed Income,Contract Renewal,2019-01-26,879
Quantum Systems Inc.,Equity and Fixed Income,FX Transaction,2023-08-12,511
Quantum Systems Inc.,Equity and Fixed Income,Cash Settlement,2021-06-06,993
Quantum Systems Inc.,Equity and Fixed Income,Contract Renewal,2022-07-25,922
Quantum Systems Inc.,Equity and Fixed Income,Corporate Action,2022-12-19,166
Quantum Systems Inc.,Equity and Fixed Income,FX Transaction,2019-12-27,761
Quantum Systems Inc.,Equity and Fixed Income,Inquiry,2022-08-25,0
Quantum Systems Inc.,Equity and Fixed Income,Onboarding,2022-06-15,837
Quantum Systems Inc.,Equity and Fixed Income,Inquiry,2023-05-06,0
Quantum Systems Inc.,Equity and Fixed Income,Corporate Action,2021-08-10,456
Quantum Systems Inc.,Equity and Fixed Income,Onboarding,2020-10-22,882
Quantum Systems Inc.,Multi Asset Class Sol,Contract Termination,2023-08-29,967
Quantum Systems Inc.,Multi Asset Class Sol,Cash Settlement,2020-07-25,912
Quantum Systems Inc.,Multi Asset Class Sol,Corporate Action,2020-05-14,778
Quantum Systems Inc.,Multi Asset Class Sol,Corporate Action,2022-03-13,634
Quantum Systems Inc.,Multi Asset Class Sol,FX Transaction,2020-11-19,39
Quantum Systems Inc.,Multi Asset Class Sol,Corporate Action,2023-10-09,342
Quantum Systems Inc.,Multi Asset Class Sol,Reconciliation,2021-09-25,227
Quantum Systems Inc.,Multi Asset Class Sol,Contract Renewal,2023-06-22,274
Quantum Systems Inc.,Multi Asset Class Sol,Contract Renewal,2020-07-26,911
Quantum Systems Inc.,Multi Asset Class Sol,Onboarding,2022-02-12,20
Quantum Systems Inc.,Multi Asset Class Sol,Inquiry,2020-01-27,0
Quantum Systems Inc.,Multi Asset Class Sol,Cash Settlement,2020-05-09,747
Quantum Systems Inc.,Multi Asset Class Sol,FX Transaction,2021-09-27,578
Quantum Systems Inc.,Multi Asset Class Sol,Contract Termination,2022-11-15,497
Quantum Systems Inc.,NAV Calculation,Corporate Action,2021-07-06,821
Quantum Systems Inc.,NAV Calculation,Trade Execution,2019-07-10,311
Quantum Systems Inc.,NAV Calculation,Contract Termination,2021-04-08,718
Quantum Systems Inc.,NAV Calculation,Contract Termination,2020-09-19,689
Quantum Systems Inc.,NAV Calculation,Contract Renewal,2021-08-27,576
Quantum Systems Inc.,NAV Calculation,Inquiry,2020-12-05,0
Quantum Systems Inc.,NAV Calculation,FX Transaction,2023-03-08,573
Quantum Systems Inc.,NAV Calculation,Contract Renewal,2020-12-21,729
Quantum Systems Inc.,NAV Calculation,Corporate Action,2020-07-08,323
Quantum Systems Inc.,NAV Calculation,Onboarding,2020-04-17,133
Quantum Systems Inc.,NAV Calculation,Contract Termination,2020-10-08,132
Quantum Systems Inc.,NAV Calculation,Inquiry,2023-04-10,0
Quantum Systems Inc.,NAV Calculation,Reconciliation,2020-01-28,231
Quantum Systems Inc.,NAV Calculation,Corporate Action,2020-07-20,751
Quantum Systems Inc.,Hedge Fund Services,Inquiry,2022-05-07,0
Quantum Systems Inc.,Hedge Fund Services,Onboarding,2019-07-25,862
Quantum Systems Inc.,Hedge Fund Services,Contract Termination,2020-08-29,242
Quantum Systems Inc.,Hedge Fund Services,Contract Renewal,2020-01-03,319
Quantum Systems Inc.,Hedge Fund Services,Trade Execution,2022-12-21,556
Quantum Systems Inc.,Hedge Fund Services,Reconciliation,2020-07-15,56
Quantum Systems Inc.,Hedge Fund Services,Trade Execution,2022-02-07,309
Quantum Systems Inc.,Hedge Fund Services,Reconciliation,2022-07-30,899
Quantum Systems Inc.,Hedge Fund Services,Corporate Action,2019-07-30,903
Quantum Systems Inc.,Hedge Fund Services,Trade Execution,2022-03-21,301
Quantum Systems Inc.,Hedge Fund Services,Corporate Action,2021-09-07,461
Quantum Systems Inc.,Hedge Fund Services,Contract Renewal,2020-01-13,998
Quantum Systems Inc.,Hedge Fund Services,Trade Execution,2020-06-01,973
Quantum Systems Inc.,Hedge Fund Services,Corporate Action,2019-08-22,851
Quantum Systems Inc.,Custody,Cash Settlement,2021-03-31,513
Quantum Systems Inc.,Custody,Cash Settlement,2022-03-27,654
Quantum Systems Inc.,Custody,Trade Execution,2019-11-07,162
Quantum Systems Inc.,Custody,Onboarding,2019-06-24,264
Quantum Systems Inc.,Custody,Cash Settlement,2022-02-16,792
Quantum Systems Inc.,Custody,FX Transaction,2022-05-26,620
Quantum Systems Inc.,Custody,Contract Termination,2023-05-08,545
Quantum Systems Inc.,Custody,FX Transaction,2021-07-11,940
Quantum Systems Inc.,Custody,Corporate Action,2020-08-31,890
Quantum Systems Inc.,Custody,FX Transaction,2020-09-17,592
Quantum Systems Inc.,Custody,Trade Execution,2022-06-02,993
Quantum Systems Inc.,Custody,Cash Settlement,2023-04-12,222
Quantum Systems Inc.,Custody,Contract Termination,2020-06-25,686
Quantum Systems Inc.,Custody,Cash Settlement,2019-11-18,255
Stellar Services,Custody,Reconciliation,2022-02-04,86
Stellar Services,Custody,Reconciliation,2019-01-06,428
Stellar Services,Custody,Corporate Action,2022-11-12,618
Stellar Services,Custody,Corporate Action,2020-08-19,43
Stellar Services,Custody,Contract Termination,2020-08-13,733
Stellar Services,Custody,Onboarding,2022-12-10,890
Stellar Services,Custody,Corporate Action,2019-05-26,713
Stellar Services,Custody,Contract Termination,2020-06-25,816
Stellar Services,Custody,Contract Termination,2021-05-20,127
Stellar Services,Custody,Inquiry,2020-04-05,0
Stellar Services,Custody,Reconciliation,2020-06-28,856
Stellar Services,Custody,Reconciliation,2019-05-27,71
Stellar Services,Custody,Reconciliation,2023-06-12,324
Stellar Services,Custody,Onboarding,2021-06-18,137
Stellar Services,Currency Management,Corporate Action,2022-11-11,321
Stellar Services,Currency Management,FX Transaction,2020-07-11,522
Stellar Services,Currency Management,Inquiry,2021-10-08,0
Stellar Services,Currency Management,Corporate Action,2019-06-14,622
Stellar Services,Currency Management,Trade Execution,2023-12-27,452
Stellar Services,Currency Management,Contract Renewal,2022-05-21,266
Stellar Services,Currency Management,Trade Execution,2019-07-07,244
Stellar Services,Currency Management,Trade Execution,2023-04-16,698
Stellar Services,Currency Management,Onboarding,2022-03-26,51
Stellar Services,Currency Management,Reconciliation,2021-08-21,541
Stellar Services,Currency Management,Corporate Action,2020-07-23,195
Stellar Services,Currency Management,FX Transaction,2022-07-24,843
Stellar Services,Currency Management,Corporate Action,2019-07-06,491
Stellar Services,Currency Management,Contract Renewal,2021-04-16,351
Stellar Services,Trade Settlements,Contract Renewal,2022-10-04,117
Stellar Services,Trade Settlements,Reconciliation,2020-11-06,431
Stellar Services,Trade Settlements,Corporate Action,2020-08-13,688
Stellar Services,Trade Settlements,FX Transaction,2023-07-25,788
Stellar Services,Trade Settlements,Inquiry,2019-03-17,0
Stellar Services,Trade Settlements,Corporate Action,2019-06-30,332
Stellar Services,Trade Settlements,Onboarding,2020-10-24,128
Stellar Services,Trade Settlements,FX Transaction,2023-11-07,536
Stellar Services,Trade Settlements,Trade Execution,2022-09-08,900
Stellar Services,Trade Settlements,Inquiry,2021-08-04,0
Stellar Services,Trade Settlements,FX Transaction,2019-04-22,202
Stellar Services,Trade Settlements,Inquiry,2021-01-10,0
Stellar Services,Trade Settlements,Corporate Action,2022-07-04,462
Stellar Services,Trade Settlements,Trade Execution,2020-02-21,283
OptiTech Solutions,Digital Assets,Inquiry,2019-09-26,0
OptiTech Solutions,Digital Assets,Onboarding,2021-06-16,911
OptiTech Solutions,Digital Assets,Corporate Action,2019-09-06,39
OptiTech Solutions,Digital Assets,Contract Termination,2022-12-24,172
OptiTech Solutions,Digital Assets,Onboarding,2022-02-02,24
OptiTech Solutions,Digital Assets,Inquiry,2021-04-15,0
OptiTech Solutions,Digital Assets,Cash Settlement,2020-04-05,871
OptiTech Solutions,Digital Assets,Cash Settlement,2021-08-03,979
OptiTech Solutions,Digital Assets,Cash Settlement,2022-08-19,862
OptiTech Solutions,Digital Assets,Reconciliation,2021-10-17,965
OptiTech Solutions,Digital Assets,Onboarding,2021-11-08,732
OptiTech Solutions,Digital Assets,Onboarding,2021-04-30,864
OptiTech Solutions,Digital Assets,Corporate Action,2021-08-25,259
OptiTech Solutions,Digital Assets,Corporate Action,2022-02-02,158
OptiTech Solutions,Advisory Services,FX Transaction,2020-01-26,953
OptiTech Solutions,Advisory Services,Inquiry,2023-03-09,0
OptiTech Solutions,Advisory Services,Reconciliation,2023-11-05,81
OptiTech Solutions,Advisory Services,Onboarding,2023-05-02,818
