client,year,service,roi,cost,feedback
Acme Corporation,2016,Equity and Fixed Income,71,76.91986254374797,5
Acme Corporation,2016,Security Finances,20,100,3
Acme Corporation,2016,Multi Asset Class Sol,74,50,4
Acme Corporation,2016,Currency Management,72,50,1
Acme Corporation,2017,NAV Calculation,46,98.79297462357188,5
Acme Corporation,2017,Custody,77,50,5
Acme Corporation,2017,Advisory Services,60,68.35432033555848,4
Acme Corporation,2017,Equity and Fixed Income,56,87.16087361925526,5
Acme Corporation,2017,Advisory Services,37,84.04938701220432,4
Acme Corporation,2017,Security Finances,15,80.59424452047321,3
Acme Corporation,2017,Currency Management,22,50,5
Acme Corporation,2018,Custody,59,100,5
Acme Corporation,2018,Equity and Fixed Income,72,50,3
Acme Corporation,2019,Trade Settlements,70,50,1
Acme Corporation,2020,Security Finances,91,60.79956108234862,4
Acme Corporation,2020,Security Finances,96,84.8943773167991,5
Acme Corporation,2021,NAV Calculation,99,100,2
Acme Corporation,2021,Advisory Services,14,86.38139292992884,3
Acme Corporation,2021,NAV Calculation,43,89.57337546188089,3
Acme Corporation,2021,Advisory Services,12,100,4
Acme Corporation,2021,Currency Management,7,66.86812187266008,1
Acme Corporation,2022,Trade Settlements,33,50,2
Acme Corporation,2022,Custody,85,100,3
Acme Corporation,2022,Custody,100,59.72235613666319,1
Acme Corporation,2022,Hedge Fund Services,75,64.43210835344631,1
Acme Corporation,2022,NAV Calculation,59,69.29494653583242,5
Acme Corporation,2022,Trade Settlements,38,50,1
Acme Corporation,2022,Hedge Fund Services,55,50,4
Widget Industries,2010,Multi Asset Class Sol,66,69.34272288742778,5
Widget Industries,2010,Equity and Fixed Income,78,100,4
Widget Industries,2010,Multi Asset Class Sol,76,100,5
Widget Industries,2010,Custody,79,100,4
Widget Industries,2010,Equity and Fixed Income,24,100,2
Widget Industries,2010,Multi Asset Class Sol,10,95.96508779412294,1
Widget Industries,2010,Digital Assets,60,58.879847179369975,5
Widget Industries,2010,NAV Calculation,1,100,1
Widget Industries,2010,Security Finances,50,50,4
Widget Industries,2011,Currency Management,94,50,4
Widget Industries,2011,Advisory Services,12,84.73987497713311,4
Widget Industries,2011,Security Finances,14,92.22979183550542,2
Widget Industries,2011,Custody,61,50,1
Widget Industries,2011,NAV Calculation,68,50.67651330893973,4
Widget Industries,2011,Digital Assets,41,50,1
Widget Industries,2011,Hedge Fund Services,92,100,3
Widget Industries,2011,Advisory Services,33,50,1
Widget Industries,2012,Equity and Fixed Income,51,64.96448844323265,1
Widget Industries,2012,Multi Asset Class Sol,29,51.89570722943714,2
Widget Industries,2012,Security Finances,33,75.59208708222772,3
Widget Industries,2012,Security Finances,78,50,5
Widget Industries,2012,Equity and Fixed Income,37,76.35621116513101,4
Widget Industries,2012,Digital Assets,52,63.274706131873,1
Widget Industries,2013,NAV Calculation,78,50,5
Widget Industries,2013,Currency Management,14,50,2
Widget Industries,2013,Multi Asset Class Sol,14,50,2
Widget Industries,2013,Advisory Services,19,65.07221279342211,2
Widget Industries,2013,Advisory Services,12,50,4
Widget Industries,2013,Currency Management,16,100,3
Widget Industries,2013,Security Finances,82,50,3
Widget Industries,2013,Advisory Services,83,50,1
Widget Industries,2013,Digital Assets,72,50,3
Widget Industries,2013,Advisory Services,41,95.52370684396833,4
Widget Industries,2014,Security Finances,74,100,3
Widget Industries,2014,Security Finances,67,86.58367946205789,4
Widget Industries,2014,NAV Calculation,87,85.09734414568644,4
Widget Industries,2014,Equity and Fixed Income,25,100,1
Widget Industries,2014,Multi Asset Class Sol,55,100,4
Widget Industries,2014,Multi Asset Class Sol,16,50,3
Widget Industries,2014,NAV Calculation,95,100,3
Widget Industries,2014,Hedge Fund Services,86,84.5766037627454,5
Widget Industries,2014,Custody,89,97.49393699376353,2
Widget Industries,2015,Equity and Fixed Income,70,96.72294345575284,2
Widget Industries,2015,Hedge Fund Services,100,72.18289796850834,1
Widget Industries,2015,Multi Asset Class Sol,39,50,5
Widget Industries,2015,Equity and Fixed Income,33,78.85395754480462,2
Widget Industries,2016,Digital Assets,48,100,2
Widget Industries,2016,Digital Assets,58,92.79741845739444,3
Widget Industries,2016,Multi Asset Class Sol,86,54.80417397681819,1
Widget Industries,2016,NAV Calculation,54,60.55440840338545,4
Widget Industries,2016,Trade Settlements,6,100,4
Widget Industries,2016,Digital Assets,35,67.5175529158794,1
Widget Industries,2016,NAV Calculation,25,100,3
Widget Industries,2016,Security Finances,12,60.272088886648746,5
Widget Industries,2016,Currency Management,57,100,1
Widget Industries,2017,Custody,35,50,2
Widget Industries,2017,Digital Assets,30,100,4
Widget Industries,2018,Trade Settlements,1,53.70241040394889,5
Widget Industries,2018,Equity and Fixed Income,33,100,5
Widget Industries,2018,Currency Management,61,100,2
Widget Industries,2018,Currency Management,52,100,5
Widget Industries,2019,Currency Management,69,81.36697640579231,1
Widget Industries,2019,Advisory Services,3,77.31659393765204,1
Widget Industries,2019,Multi Asset Class Sol,28,100,5
Widget Industries,2019,Multi Asset Class Sol,1,50,5
Widget Industries,2019,Multi Asset Class Sol,7,86.01352264857083,4
Widget Industries,2019,Digital Assets,12,100,4
Widget Industries,2019,Security Finances,45,50,1
Widget Industries,2020,Multi Asset Class Sol,92,50,5
Widget Industries,2020,Custody,60,50,3
Widget Industries,2020,Advisory Services,33,92.35242893542902,4
Widget Industries,2020,Currency Management,13,74.99673638706682,4
Widget Industries,2020,Hedge Fund Services,38,50,5
Widget Industries,2021,Digital Assets,17,57.338853975656974,1
Widget Industries,2021,Equity and Fixed Income,55,50,4
Widget Industries,2021,Multi Asset Class Sol,94,50,4
Widget Industries,2021,Security Finances,83,98.79521309910122,4
Widget Industries,2021,Trade Settlements,82,89.02194140081109,2
Widget Industries,2021,Advisory Services,6,60.78238389623809,5
Widget Industries,2021,Hedge Fund Services,10,98.92616392749426,2
Widget Industries,2021,Advisory Services,67,83.58342152292992,5
Widget Industries,2021,Trade Settlements,73,62.322384608175525,4
Widget Industries,2021,Security Finances,96,100,5
Widget Industries,2022,Equity and Fixed Income,22,100,5
Widget Industries,2022,Security Finances,75,100,2
Widget Industries,2022,Digital Assets,16,58.18163624035971,3
Widget Industries,2022,Multi Asset Class Sol,62,100,4
Widget Industries,2022,Custody,78,77.1057290521739,4
Widget Industries,2022,Multi Asset Class Sol,24,50,4
Widget Industries,2022,Custody,94,88.96461010886657,3
Widget Industries,2022,Security Finances,39,100,3
Widget Industries,2022,NAV Calculation,49,50,5
Widget Industries,2022,Trade Settlements,19,96.08403956208912,1
Global Innovations Group,2010,Multi Asset Class Sol,5,75.92450906815436,3
Global Innovations Group,2010,Multi Asset Class Sol,97,50,3
Global Innovations Group,2011,Hedge Fund Services,80,93.10930553654603,4
Global Innovations Group,2011,Custody,92,50,3
Global Innovations Group,2011,Trade Settlements,43,50,1
Global Innovations Group,2011,Digital Assets,86,100,5
Global Innovations Group,2011,Digital Assets,37,69.7128978330816,2
Global Innovations Group,2011,Custody,90,81.92319082715535,3
Global Innovations Group,2012,Security Finances,47,50,2
Global Innovations Group,2012,Hedge Fund Services,73,100,5
Global Innovations Group,2012,Multi Asset Class Sol,68,100,3
Global Innovations Group,2013,Digital Assets,82,69.90072782196015,1
Global Innovations Group,2013,Currency Management,49,100,2
Global Innovations Group,2013,Custody,78,100,2
Global Innovations Group,2013,Digital Assets,52,100,1
Global Innovations Group,2013,Custody,42,100,5
Global Innovations Group,2013,Advisory Services,34,51.4285047100541,5
Global Innovations Group,2013,Multi Asset Class Sol,86,100,3
Global Innovations Group,2013,Multi Asset Class Sol,50,100,3
Global Innovations Group,2013,Security Finances,46,54.35481820330874,3
Global Innovations Group,2014,Digital Assets,38,50,5
Global Innovations Group,2014,Currency Management,73,50,5
Global Innovations Group,2014,Digital Assets,38,50,3
Global Innovations Group,2014,Advisory Services,19,65.39748629234694,3
Global Innovations Group,2014,Currency Management,36,50,2
Global Innovations Group,2014,Equity and Fixed Income,98,100,5
Global Innovations Group,2014,Digital Assets,26,76.30942720311062,4
Global Innovations Group,2014,Advisory Services,49,72.24014645736604,5
Global Innovations Group,2014,Hedge Fund Services,14,100,3
Global Innovations Group,2015,NAV Calculation,97,62.77487106873701,2
Global Innovations Group,2015,Digital Assets,71,50.71324040492302,4
Global Innovations Group,2015,Trade Settlements,41,84.86880234941687,1
Global Innovations Group,2015,Advisory Services,89,77.71192799920324,2
Global Innovations Group,2016,Advisory Services,69,97.42983382517309,5
Global Innovations Group,2016,Custody,29,100,3
Global Innovations Group,2017,NAV Calculation,34,100,1
Global Innovations Group,2017,Advisory Services,33,94.86703381305854,2
Global Innovations Group,2017,Security Finances,66,98.24114258592685,3
Global Innovations Group,2017,NAV Calculation,67,100,5
Global Innovations Group,2017,Currency Management,74,100,5
Global Innovations Group,2018,Digital Assets,31,100,1
Global Innovations Group,2018,Multi Asset Class Sol,66,100,5
Global Innovations Group,2018,Trade Settlements,95,100,2
Global Innovations Group,2019,Multi Asset Class Sol,78,100,5
Global Innovations Group,2019,Currency Management,65,60.85757590591122,3
Global Innovations Group,2019,Currency Management,24,58.86329799362561,4
Global Innovations Group,2019,Advisory Services,5,86.90563259451528,4
Global Innovations Group,2019,Custody,38,100,4
Global Innovations Group,2019,Trade Settlements,43,73.872766222327,2
Global Innovations Group,2020,Advisory Services,33,87.30077571676932,3
Global Innovations Group,2020,Custody,38,50,2
Global Innovations Group,2020,Currency Management,30,100,1
Global Innovations Group,2020,Digital Assets,89,82.82993033733679,1
Global Innovations Group,2020,Currency Management,2,89.51464591594322,3
Global Innovations Group,2020,Security Finances,54,100,2
Global Innovations Group,2020,Custody,59,50,1
Global Innovations Group,2021,NAV Calculation,57,50,1
Global Innovations Group,2021,NAV Calculation,87,50,5
Global Innovations Group,2021,Advisory Services,72,50,5
Global Innovations Group,2022,Security Finances,63,90.9661870499793,2
Global Innovations Group,2022,Hedge Fund Services,97,100,3
Global Innovations Group,2022,Currency Management,25,56.87115427611566,4
Global Innovations Group,2022,Security Finances,96,50,3
Global Innovations Group,2022,Currency Management,68,50,2
Global Innovations Group,2022,Trade Settlements,29,50,2
Global Innovations Group,2022,Digital Assets,89,78.4303166395185,4
Global Innovations Group,2022,Advisory Services,42,77.40272809352966,2
Techtonic Solutions,2010,Trade Settlements,67,58.086561929691584,3
Techtonic Solutions,2010,Hedge Fund Services,96,58.99287034290897,2
Techtonic Solutions,2011,Security Finances,23,71.45595919681969,5
Techtonic Solutions,2012,Multi Asset Class Sol,14,50,3
Techtonic Solutions,2012,Hedge Fund Services,12,65.41244721824853,1
Techtonic Solutions,2012,Trade Settlements,26,82.57628847616311,4
Techtonic Solutions,2012,Multi Asset Class Sol,93,50,2
Techtonic Solutions,2012,Digital Assets,92,76.06594232714383,2
Techtonic Solutions,2012,Multi Asset Class Sol,40,50,4
Techtonic Solutions,2012,Equity and Fixed Income,40,100,1
Techtonic Solutions,2012,NAV Calculation,23,50,4
Techtonic Solutions,2012,Digital Assets,58,50,2
Techtonic Solutions,2012,NAV Calculation,65,50,2
Techtonic Solutions,2013,Multi Asset Class Sol,7,50,5
Techtonic Solutions,2013,NAV Calculation,84,50,3
Techtonic Solutions,2013,Advisory Services,39,50,1
Techtonic Solutions,2014,Custody,40,50,4
Techtonic Solutions,2014,Hedge Fund Services,23,56.507020565355845,4
Techtonic Solutions,2014,Trade Settlements,38,63.42971033569101,1
Techtonic Solutions,2014,Trade Settlements,5,69.11497878957533,1
Techtonic Solutions,2014,Multi Asset Class Sol,77,50,5
Techtonic Solutions,2014,NAV Calculation,19,50,5
Techtonic Solutions,2014,Digital Assets,68,57.22826398631271,4
Techtonic Solutions,2014,Security Finances,24,50,3
Techtonic Solutions,2014,Currency Management,16,50,2
Techtonic Solutions,2015,NAV Calculation,32,50,3
Techtonic Solutions,2015,Security Finances,4,86.19445115661225,4
Techtonic Solutions,2016,Trade Settlements,92,50,1
Techtonic Solutions,2016,Equity and Fixed Income,32,50,3
Techtonic Solutions,2016,Currency Management,11,100,3
Techtonic Solutions,2016,Trade Settlements,99,97.89805236912038,2
Techtonic Solutions,2016,Equity and Fixed Income,34,84.66381928608654,1
Techtonic Solutions,2016,Security Finances,40,50,3
Techtonic Solutions,2016,Multi Asset Class Sol,92,50.38874941925131,3
Techtonic Solutions,2016,Hedge Fund Services,21,64.60684134688671,3
Techtonic Solutions,2016,Custody,13,60.47777953551518,3
Techtonic Solutions,2017,NAV Calculation,87,50,2
Techtonic Solutions,2017,Advisory Services,38,62.49746338450342,4
Techtonic Solutions,2017,Trade Settlements,5,100,5
Techtonic Solutions,2018,Digital Assets,14,63.63301828449424,4
Techtonic Solutions,2018,Trade Settlements,92,70.64088256255121,3
Techtonic Solutions,2018,Currency Management,54,51.603103954740305,3
Techtonic Solutions,2018,Trade Settlements,69,100,5
Techtonic Solutions,2019,Digital Assets,87,100,4
Techtonic Solutions,2019,Security Finances,90,100,1
Techtonic Solutions,2019,Hedge Fund Services,4,100,3
Techtonic Solutions,2020,Currency Management,30,69.36182512816993,3
Techtonic Solutions,2020,Digital Assets,55,62.37238895619259,5
Techtonic Solutions,2020,Multi Asset Class Sol,29,50,4
Techtonic Solutions,2020,Custody,30,90.82415394205488,1
Techtonic Solutions,2021,Multi Asset Class Sol,66,100,4
Techtonic Solutions,2021,Digital Assets,51,53.326377247003094,1
Techtonic Solutions,2021,Digital Assets,64,93.1998365449407,5
Techtonic Solutions,2021,Trade Settlements,62,68.53319753999173,5
Techtonic Solutions,2021,Security Finances,91,100,5
Techtonic Solutions,2021,NAV Calculation,80,57.515456605901804,1
Techtonic Solutions,2021,Digital Assets,28,100,5
Techtonic Solutions,2022,Custody,52,100,2
Techtonic Solutions,2022,NAV Calculation,46,50,5
Techtonic Solutions,2022,Currency Management,70,100,5
Techtonic Solutions,2022,Currency Management,66,100,3
Techtonic Solutions,2022,Hedge Fund Services,7,65.81398551416162,5
Techtonic Solutions,2022,Trade Settlements,89,71.0258905675287,3
Techtonic Solutions,2022,Multi Asset Class Sol,48,67.717434379901,5
Techtonic Solutions,2022,Security Finances,18,68.30015549608777,2
Quantum Systems Inc.,2010,Hedge Fund Services,94,100,4
Quantum Systems Inc.,2011,Security Finances,9,100,5
Quantum Systems Inc.,2011,Hedge Fund Services,31,100,4
Quantum Systems Inc.,2011,Security Finances,95,100,1
Quantum Systems Inc.,2011,Currency Management,98,70.78713000666295,5
Quantum Systems Inc.,2011,Trade Settlements,69,72.1142624005075,5
Quantum Systems Inc.,2012,Custody,20,55.73341661680703,2
Quantum Systems Inc.,2012,Equity and Fixed Income,13,50,4
Quantum Systems Inc.,2012,Digital Assets,85,93.06588887610374,5
Quantum Systems Inc.,2012,Hedge Fund Services,81,96.18429914055916,1
Quantum Systems Inc.,2012,Security Finances,96,50,5
Quantum Systems Inc.,2012,Digital Assets,62,100,4
Quantum Systems Inc.,2012,NAV Calculation,8,96.40865173523447,2
Quantum Systems Inc.,2012,Security Finances,74,51.073100246243065,2
Quantum Systems Inc.,2012,NAV Calculation,95,66.8458532696896,2
Quantum Systems Inc.,2012,Hedge Fund Services,26,100,1
Quantum Systems Inc.,2013,Security Finances,95,63.999185456419156,4
Quantum Systems Inc.,2013,Hedge Fund Services,38,100,4
Quantum Systems Inc.,2013,Custody,71,92.32643145008092,1
Quantum Systems Inc.,2013,Hedge Fund Services,75,91.3861424316792,1
Quantum Systems Inc.,2013,Security Finances,7,50,1
Quantum Systems Inc.,2013,Digital Assets,62,62.594774781526255,5
Quantum Systems Inc.,2013,Equity and Fixed Income,69,100,1
Quantum Systems Inc.,2013,Equity and Fixed Income,43,71.05466647112944,3
Quantum Systems Inc.,2013,Advisory Services,97,100,1
Quantum Systems Inc.,2013,Currency Management,62,50,5
Quantum Systems Inc.,2014,Custody,24,50,3
Quantum Systems Inc.,2014,Currency Management,60,50,4
Quantum Systems Inc.,2014,Equity and Fixed Income,55,66.98356963566846,2
Quantum Systems Inc.,2014,Currency Management,26,50,5
Quantum Systems Inc.,2014,Hedge Fund Services,27,50,1
Quantum Systems Inc.,2014,Trade Settlements,99,62.71027741232069,5
Quantum Systems Inc.,2014,Advisory Services,63,50,2
Quantum Systems Inc.,2014,Security Finances,97,50,3
Quantum Systems Inc.,2015,Hedge Fund Services,43,99.58810078639249,5
Quantum Systems Inc.,2015,Currency Management,17,98.54203594629186,4
Quantum Systems Inc.,2015,NAV Calculation,74,87.11281715418123,2
Quantum Systems Inc.,2015,Multi Asset Class Sol,100,50,1
Quantum Systems Inc.,2015,NAV Calculation,96,50,1
Quantum Systems Inc.,2015,Advisory Services,17,50,1
Quantum Systems Inc.,2016,Equity and Fixed Income,24,88.59139745239693,1
Quantum Systems Inc.,2016,Advisory Services,72,100,1
Quantum Systems Inc.,2016,Advisory Services,23,50,2
Quantum Systems Inc.,2016,Hedge Fund Services,36,50,1
Quantum Systems Inc.,2017,Hedge Fund Services,54,86.90202613511195,1
Quantum Systems Inc.,2017,Advisory Services,32,71.20664837564814,5
Quantum Systems Inc.,2017,NAV Calculation,66,65.34860813520568,1
Quantum Systems Inc.,2017,Currency Management,32,50,2
Quantum Systems Inc.,2017,Equity and Fixed Income,40,98.26805982995886,2
Quantum Systems Inc.,2017,Equity and Fixed Income,68,50,4
Quantum Systems Inc.,2017,Currency Management,7,50,5
Quantum Systems Inc.,2018,Hedge Fund Services,67,83.79912894312693,2
Quantum Systems Inc.,2018,Digital Assets,80,50,4
Quantum Systems Inc.,2018,Digital Assets,34,50,1
Quantum Systems Inc.,2018,Equity and Fixed Income,44,64.0725783172138,1
Quantum Systems Inc.,2018,Advisory Services,80,50,3
Quantum Systems Inc.,2019,Advisory Services,80,50,4
Quantum Systems Inc.,2019,NAV Calculation,75,50,3
Quantum Systems Inc.,2019,Trade Settlements,87,50,4
Quantum Systems Inc.,2019,Hedge Fund Services,74,50,2
Quantum Systems Inc.,2019,Equity and Fixed Income,42,100,1
Quantum Systems Inc.,2019,Digital Assets,9,50,2
Quantum Systems Inc.,2020,Custody,97,100,5
Quantum Systems Inc.,2020,Advisory Services,90,50,3
Quantum Systems Inc.,2020,Trade Settlements,73,50,3
Quantum Systems Inc.,2020,Currency Management,48,50,1
Quantum Systems Inc.,2020,Trade Settlements,12,100,5
Quantum Systems Inc.,2020,Security Finances,60,70.0530147618657,5
Quantum Systems Inc.,2020,NAV Calculation,21,100,1
Quantum Systems Inc.,2020,Custody,55,60.12738616094484,3
Quantum Systems Inc.,2021,Digital Assets,98,50,1
Quantum Systems Inc.,2021,Trade Settlements,83,98.95141967711977,4
Quantum Systems Inc.,2021,Digital Assets,28,100,3
Quantum Systems Inc.,2021,Multi Asset Class Sol,75,50,1
Quantum Systems Inc.,2022,Trade Settlements,18,50,1
Quantum Systems Inc.,2022,Digital Assets,68,98.93805341062257,5
Quantum Systems Inc.,2022,Hedge Fund Services,78,50,3
Quantum Systems Inc.,2022,Trade Settlements,1,100,5
Quantum Systems Inc.,2022,Security Finances,35,76.43599688701886,2
Quantum Systems Inc.,2022,Security Finances,2,65.59594975275708,5
Stellar Services,2010,Trade Settlements,86,54.53183481483202,5
Stellar Services,2010,Currency Management,43,50,2
Stellar Services,2010,Currency Management,52,100,3
Stellar Services,2010,Digital Assets,18,96.85572226342023,5
Stellar Services,2010,Equity and Fixed Income,60,50,3
Stellar Services,2010,NAV Calculation,12,50,5
Stellar Services,2010,NAV Calculation,65,100,2
Stellar Services,2010,Hedge Fund Services,58,50,3
Stellar Services,2010,NAV Calculation,25,65.08674135385975,1
Stellar Services,2010,Security Finances,64,50,1
Stellar Services,2011,Security Finances,25,50,2
Stellar Services,2011,Security Finances,86,50,3
Stellar Services,2011,Digital Assets,14,50,4
Stellar Services,2011,Trade Settlements,76,50,4
Stellar Services,2011,NAV Calculation,62,50,2
Stellar Services,2011,Digital Assets,46,100,5
Stellar Services,2012,Currency Management,19,100,1
Stellar Services,2012,Hedge Fund Services,82,62.07494245133532,1
Stellar Services,2012,Equity and Fixed Income,90,82.87539265522216,2
Stellar Services,2012,Equity and Fixed Income,65,100,1
Stellar Services,2012,Currency Management,96,70.35218414837968,4
Stellar Services,2012,Hedge Fund Services,58,100,4
Stellar Services,2012,Hedge Fund Services,85,59.183923778292765,4
Stellar Services,2012,Equity and Fixed Income,17,100,4
Stellar Services,2012,Hedge Fund Services,54,84.42404302215627,1
Stellar Services,2013,Custody,27,60.745843220784415,2
Stellar Services,2013,Trade Settlements,67,100,3
Stellar Services,2013,Multi Asset Class Sol,54,50,3
Stellar Services,2013,Advisory Services,75,68.60219618958604,5
Stellar Services,2013,Digital Assets,93,100,5
Stellar Services,2013,Custody,57,100,2
Stellar Services,2013,Trade Settlements,4,100,1
Stellar Services,2013,NAV Calculation,7,68.14369820918317,1
Stellar Services,2013,Custody,5,50,3
Stellar Services,2013,Currency Management,85,50,1
Stellar Services,2014,Digital Assets,28,50,3
Stellar Services,2014,Digital Assets,50,94.98958593005081,1
Stellar Services,2014,Hedge Fund Services,79,50.992567199577515,4
Stellar Services,2014,Currency Management,47,50,4
Stellar Services,2014,Custody,76,50,1
Stellar Services,2014,NAV Calculation,76,95.32451287594299,5
Stellar Services,2015,Currency Management,48,87.30741889306412,5
Stellar Services,2015,Security Finances,69,62.83893883594277,4
Stellar Services,2015,Equity and Fixed Income,45,100,5
Stellar Services,2015,Digital Assets,61,64.67800466208891,2
Stellar Services,2015,Advisory Services,64,100,4
Stellar Services,2015,Multi Asset Class Sol,28,95.07150101473783,3
Stellar Services,2015,Digital Assets,25,74.98320541204666,5
Stellar Services,2015,Security Finances,29,50,1
Stellar Services,2016,Multi Asset Class Sol,43,56.63975168089003,3
Stellar Services,2016,Currency Management,82,51.307005995070554,5
Stellar Services,2016,Equity and Fixed Income,74,61.454148457631845,1
Stellar Services,2016,Digital Assets,9,100,5
Stellar Services,2016,Trade Settlements,49,60.38439642060901,1
Stellar Services,2016,Advisory Services,67,50.95514246934176,3
Stellar Services,2016,NAV Calculation,34,83.31415083897653,3
Stellar Services,2016,Trade Settlements,89,50,5
Stellar Services,2016,Hedge Fund Services,79,86.31817008142562,5
Stellar Services,2017,Trade Settlements,37,100,5
Stellar Services,2017,NAV Calculation,47,91.82357663272087,5
Stellar Services,2017,NAV Calculation,91,100,5
Stellar Services,2018,Security Finances,80,100,3
Stellar Services,2018,Trade Settlements,62,70.53679475614898,5
Stellar Services,2018,NAV Calculation,21,63.49392020339916,4
Stellar Services,2018,NAV Calculation,92,100,4
Stellar Services,2018,Equity and Fixed Income,38,99.43138876238498,5
Stellar Services,2018,Trade Settlements,92,83.92049833880927,5
Stellar Services,2018,Security Finances,32,100,1
Stellar Services,2018,Multi Asset Class Sol,9,50,3
Stellar Services,2019,NAV Calculation,12,100,5
Stellar Services,2019,Multi Asset Class Sol,37,50,1
Stellar Services,2019,Security Finances,28,86.55000619664393,4
Stellar Services,2019,Hedge Fund Services,9,50,2
Stellar Services,2019,Advisory Services,47,50,4
Stellar Services,2019,Advisory Services,99,100,5
Stellar Services,2020,Custody,99,100,2
Stellar Services,2020,Advisory Services,22,50,2
Stellar Services,2021,Hedge Fund Services,74,95.70110242518747,2
Stellar Services,2021,NAV Calculation,96,56.389184533537545,4
Stellar Services,2021,NAV Calculation,5,85.72900224289079,2
Stellar Services,2021,Digital Assets,100,57.30352694672037,1
Stellar Services,2022,Advisory Services,35,58.04593331097036,4
Stellar Services,2022,NAV Calculation,29,55.58927817804014,3
Stellar Services,2022,Multi Asset Class Sol,66,50,4
Stellar Services,2022,Trade Settlements,74,94.21362480534398,2
Stellar Services,2022,Multi Asset Class Sol,21,50,1
Stellar Services,2022,Security Finances,70,74.56626608795128,2
OptiTech Solutions,2010,NAV Calculation,72,50,1
OptiTech Solutions,2010,Security Finances,20,50,4
OptiTech Solutions,2011,Advisory Services,66,81.18320534026434,5
OptiTech Solutions,2011,Equity and Fixed Income,80,62.34275858332384,2
OptiTech Solutions,2011,NAV Calculation,37,50,4
OptiTech Solutions,2011,Custody,12,50,3
OptiTech Solutions,2011,Trade Settlements,64,61.867054536259246,5
OptiTech Solutions,2011,Advisory Services,96,50,5
OptiTech Solutions,2011,Currency Management,44,50,1
OptiTech Solutions,2012,Equity and Fixed Income,4,78.1229020595221,5
OptiTech Solutions,2012,Custody,85,56.47404244670581,3
OptiTech Solutions,2012,NAV Calculation,43,66.20066326566402,1
OptiTech Solutions,2012,Advisory Services,48,50,4
OptiTech Solutions,2012,Trade Settlements,77,50,3
OptiTech Solutions,2012,Digital Assets,25,50,2
OptiTech Solutions,2012,Hedge Fund Services,27,50,5
OptiTech Solutions,2012,Trade Settlements,21,89.85319441579828,3
OptiTech Solutions,2012,Multi Asset Class Sol,50,50,1
OptiTech Solutions,2012,NAV Calculation,93,50,2
OptiTech Solutions,2013,Hedge Fund Services,87,74.46076513070552,4
OptiTech Solutions,2013,Advisory Services,5,50,1
OptiTech Solutions,2013,Digital Assets,10,91.14683368154277,4
OptiTech Solutions,2013,Digital Assets,29,59.567736228955155,2
OptiTech Solutions,2013,Custody,72,50,1
OptiTech Solutions,2013,Hedge Fund Services,40,50,4
OptiTech Solutions,2013,Multi Asset Class Sol,52,50,5
OptiTech Solutions,2014,Hedge Fund Services,88,50,5
OptiTech Solutions,2014,Currency Management,33,50,2
OptiTech Solutions,2014,Security Finances,86,93.8448126992548,1
OptiTech Solutions,2015,Multi Asset Class Sol,40,77.9026407009447,2
OptiTech Solutions,2015,Security Finances,57,100,1
OptiTech Solutions,2015,Hedge Fund Services,91,100,1
OptiTech Solutions,2015,Hedge Fund Services,61,100,5
OptiTech Solutions,2016,Multi Asset Class Sol,88,88.90464943290908,5
OptiTech Solutions,2016,NAV Calculation,85,100,4
