Client ID,Year,Service ID,Cost,ROI,Feedback
CL066,2019,SER002,3875.25,74.1,4
CL066,2020,SER005,4315.50,22.0,5
CL067,2021,SER004,2987.00,35.8,0
CL067,2022,SER006,2150.25,9.1,1
CL067,2019,SER001,2450.50,69.8,2
CL067,2023,SER013,1836.25,15.7,3
CL068,2020,SER008,4598.00,64.4,4
CL068,2021,SER011,2195.25,88.9,5
CL068,2018,SER007,3142.75,7.6,0
CL068,2019,SER005,4315.50,41.2,1
CL069,2023,SER010,3867.50,34.5,2
CL069,2018,SER003,1623.75,94.1,3
CL069,2020,SER009,1275.75,57.0,4
CL069,2021,SER006,2150.25,28.9,5
CL070,2019,SER012,3573.00,89.4,0
CL070,2020,SER004,2987.00,18.8,1
CL070,2021,SER013,1836.25,49.1,2
CL070,2022,SER002,3875.25,8.4,3
CL071,2023,SER003,1623.75,60.7,4
CL071,2018,SER005,4315.50,34.8,5
CL071,2019,SER001,2450.50,74.5,0
CL071,2020,SER010,3867.50,27.6,1
CL072,2021,SER007,3142.75,11.3,2
CL072,2022,SER006,2150.25,87.6,3
CL072,2019,SER008,4598.00,73.1,4
CL072,2023,SER004,2987.00,45.9,5
CL073,2018,SER011,2195.25,69.0,0
CL073,2021,SER013,1836.25,29.7,1
CL073,2019,SER003,1623.75,96.3,2
CL073,2020,SER009,1275.75,56.2,3
CL073,2022,SER010,3867.50,45.7,4
CL074,2023,SER005,4315.50,83.4,5
CL074,2018,SER001,2450.50,12.0,0
CL074,2019,SER012,3573.00,21.8,1
CL074,2020,SER007,3142.75,62.3,2
CL075,2021,SER003,1623.75,45.9,3
CL075,2018,SER005,4315.50,87.2,4
CL075,2022,SER004,2987.00,4.5,5
CL075,2023,SER002,3875.25,68.0,0
CL076,2019,SER006,2150.25,23.9,1
CL076,2020,SER011,2195.25,88.3,2
CL076,2021,SER008,4598.00,41.6,3
CL077,2022,SER013,1836.25,61.2,4
CL077,2018,SER003,1623.75,79.7,5
CL077,2019,SER010,3867.50,9.6,0
CL077,2020,SER009,1275.75,34.8,1
CL078,2021,SER004,2987.00,5.3,2
CL078,2022,SER006,2150.25,52.9,3
CL078,2019,SER001,2450.50,94.8,4
CL078,2020,SER007,3142.75,27.3,5
CL079,2023,SER012,3573.00,46.7,0
CL079,2018,SER010,3867.50,63.0,1
CL079,2019,SER002,3875.25,74.1,2
CL079,2020,SER005,4315.50,22.0,3
CL080,2021,SER004,2987.00,35.8,4
CL080,2022,SER006,2150.25,9.1,5
CL080,2019,SER001,2450.50,69.8,0
CL080,2023,SER013,1836.25,15.7,1
CL081,2020,SER008,4598.00,64.4,2
CL081,2021,SER011,2195.25,88.9,3
CL081,2018,SER007,3142.75,7.6,4
CL081,2019,SER005,4315.50,41.2,5
CL082,2023,SER010,3867.50,34.5,0
CL082,2018,SER003,1623.75,94.1,1
CL082,2020,SER009,1275.75,57.0,2
CL082,2021,SER006,2150.25,28.9,3
CL083,2019,SER012,3573.00,89.4,4
CL083,2020,SER004,2987.00,18.8,5
CL083,2021,SER013,1836.25,49.1,0
CL083,2022,SER002,3875.25,8.4,1
CL084,2023,SER003,1623.75,60.7,2
CL084,2018,SER005,4315.50,34.8,3
CL084,2019,SER001,2450.50,74.5,4
CL084,2020,SER010,3867.50,27.6,5
CL085,2021,SER007,3142.75,11.3,4
CL085,2022,SER006,2150.25,87.6,5
CL085,2019,SER008,4598.00,73.1,0
CL085,2023,SER004,2987.00,45.9,1
CL086,2018,SER011,2195.25,69.0,2
CL086,2021,SER013,1836.25,29.7,3
CL086,2019,SER003,1623.75,96.3,4
CL086,2020,SER009,1275.75,56.2,5
CL086,2022,SER010,3867.50,45.7,0
CL087,2023,SER005,4315.50,83.4,1
CL087,2018,SER001,2450.50,12.0,2
CL087,2019,SER012,3573.00,21.8,3
CL087,2020,SER007,3142.75,62.3,4
CL088,2021,SER003,1623.75,45.9,5
CL088,2018,SER005,4315.50,87.2,0
CL088,2022,SER004,2987.00,4.5,1
CL088,2023,SER002,3875.25,68.0,2
CL089,2019,SER006,2150.25,23.9,3
CL089,2020,SER011,2195.25,88.3,4
CL089,2021,SER008,4598.00,41.6,5
CL090,2022,SER013,1836.25,61.2,0
CL090,2018,SER003,1623.75,79.7,1
CL090,2019,SER010,3867.50,9.6,2
CL090,2020,SER009,1275.75,34.8,3
CL091,2021,SER004,2987.00,5.3,4
CL091,2022,SER006,2150.25,52.9,5
CL091,2019,SER001,2450.50,94.8,0
CL091,2020,SER007,3142.75,27.3,1
CL092,2023,SER012,3573.00,46.7,2
CL092,2018,SER010,3867.50,63.0,3
CL092,2019,SER002,3875.25,74.1,4
CL092,2020,SER005,4315.50,22.0,5
CL093,2021,SER004,2987.00,35.8,0
CL093,2022,SER006,2150.25,9.1,1
CL093,2019,SER001,2450.50,69.8,2
CL093,2023,SER013,1836.25,15.7,3
CL094,2020,SER008,4598.00,64.4,4
CL094,2021,SER011,2195.25,88.9,5
CL094,2018,SER007,3142.75,7.6,0
CL094,2019,SER005,4315.50,41.2,1
CL095,2023,SER010,3867.50,34.5,2
CL095,2018,SER003,1623.75,94.1,3
CL095,2020,SER009,1275.75,57.0,4
CL095,2021,SER006,2150.25,28.9,5
CL096,2019,SER012,3573.00,89.4,0
CL096,2020,SER004,2987.00,18.8,1
CL096,2021,SER013,1836.25,49.1,2
CL096,2022,SER002,3875.25,8.4,3
CL097,2023,SER003,1623.75,60.7,4
CL097,2018,SER005,4315.50,34.8,5
CL097,2019,SER001,2450.50,74.5,0
CL097,2020,SER010,3867.50,27.6,1
CL098,2021,SER007,3142.75,11.3,2
CL098,2022,SER006,2150.25,87.6,3
CL098,2019,SER008,4598.00,73.1,4
CL098,2023,SER004,2987.00,45.9,5
CL099,2018,SER011,2195.25,69.0,0
CL099,2021,SER013,1836.25,29.7,1
CL099,2019,SER003,1623.75,96.3,2
CL099,2020,SER009,1275.75,56.2,3
CL099,2022,SER010,3867.50,45.7,4
CL100,2023,SER005,4315.50,83.4,5
CL100,2018,SER001,2450.50,12.0,0
CL100,2019,SER012,3573.00,21.8,1
CL100,2020,SER007,3142.75,62.3,2

